Row ID,age,workclass,education,marital,occupation,relationship,race,gender,income
1,53,*******,************,******************,************,*******,*****,****,<=50K
2,25,*******,*******,********,************,*********,*****,****,<=50K
3,37,*******,*******,*************,**************,*************,*****,******,<=50K
4,41,*******,*********,******************,***************,*******,*****,****,<=50K
5,55,*********,*******,********,**************,*********,*****,******,<=50K
6,39,*******,*******,******************,*****,*******,*****,****,>50K
7,51,*******,*******,******************,*****,*******,*****,****,<=50K
8,38,*******,*********,******************,***************,*******,*****,****,>50K
9,31,*******,*******,*************,*****************,*************,*****,****,<=50K
10,28,*******,*******,******************,*****************,*******,*****,****,<=50K
11,25,*******,*********,*************,***************,*************,*****,****,<=50K
12,22,*********,*******,*************,*************,*********,*****,******,<=50K
13,30,*******,*******,******************,***************,*******,*****,****,>50K
14,36,*******,***,******************,************,*******,*****,****,<=50K
15,53,*********,*******,*********,****************,*************,*****,****,<=50K
16,17,*******,****,*************,*****,*********,*****,****,<=50K
17,33,*******,************,********,************,*********,*****,******,<=50K
18,44,*********,*********,*************,**************,*************,*****,****,>50K
19,26,*******,*******,*************,*****************,*********,*****,****,<=50K
20,48,***********,*******,********,***************,**************,*****,****,<=50K
21,30,*******,*******,*************,**************,*************,*****,******,<=50K
22,38,*********,*********,******************,**************,*******,*****,****,>50K
23,57,*******,*******,******************,************,*******,*****,****,>50K
24,24,*******,****,*************,***************,*************,*****,****,<=50K
25,37,****************,**********,******************,***************,*******,*****,****,<=50K
26,33,*******,*********,******************,************,*******,*****,****,>50K
27,56,************,***,******************,****************,*******,*****,****,<=50K
28,32,*******,*******,******************,************,*******,*****,****,<=50K
29,20,*********,************,*************,***************,*********,*****,****,<=50K
30,27,*******,*******,*************,*************,*************,*****,****,<=50K
31,56,*******,*******,******************,*****,*******,*****,****,>50K
32,36,*******,************,*********************,**************,*************,******************,******,>50K
33,30,*******,************,********,************,*************,*****,****,<=50K
34,26,*******,*******,*************,************,*********,*****,****,<=50K
35,50,*******,*******,*******,**************,*********,*****,******,<=50K
36,23,*******,*********,******************,*****,*******,*****,****,<=50K
37,45,*******,*******,********,*****************,*************,*****,******,<=50K
38,57,************,*******,******************,***************,*******,*****,****,<=50K
39,18,*******,*******,*************,***************,**************,*****,******,<=50K
40,29,*******,************,********,*****,*********,*****,******,<=50K
41,43,*******,************,******************,**************,****,*****,******,>50K
42,35,*******,*********,******************,*************,****,*****,******,<=50K
43,36,*******,*********,******************,**************,*******,*****,****,<=50K
44,25,*******,*******,******************,*****************,*******,*****,****,<=50K
45,27,*******,*********,*************,*****,*************,*****,****,>50K
46,54,*******,*******,******************,****************,*******,*****,****,<=50K
47,36,*******,*********,*************,**************,*************,*****,******,>50K
48,51,****************,*********,******************,***************,****,*****,******,<=50K
49,50,*******,*******,******************,*****,*******,*****,****,>50K
50,36,*******,*********,******************,***************,*******,*****,****,<=50K
51,42,****************,*******,******************,**************,*******,*****,****,>50K
52,28,*******,*******,******************,*****,*******,*****,****,<=50K
53,38,*******,************,******************,************,*******,*****,****,<=50K
54,33,*******,*********,*************,***************,*************,*****,****,>50K
55,31,*******,*******,******************,*****************,*******,*****,****,<=50K
56,38,*******,**********,******************,***************,*******,*****,****,<=50K
57,42,****************,*********,******************,***************,*******,*****,****,<=50K
58,53,*******,****,*********,*************,*********,*****,******,<=50K
59,34,*********,*********,********,**************,*************,*****,****,<=50K
60,53,*******,*********,******************,***************,*******,*****,****,>50K
61,44,*******,*********,******************,***************,*******,*****,****,>50K
62,39,*******,*******,******************,****************,*******,*****,****,>50K
63,17,*******,****,*************,***************,*********,*****,******,<=50K
64,61,*******,*******,******************,****************,*******,*****,****,>50K
65,52,*******,****,******************,*************,****,*****,******,<=50K
66,39,*******,*******,*************,**************,*********,*****,******,<=50K
67,43,****************,*******,******************,************,*******,*****,****,<=50K
68,48,*******,****,******************,****************,*******,*****,****,<=50K
69,24,*******,*******,******************,*****************,**************,*****,****,<=50K
70,18,*******,****,*************,*************,*********,*****,******,<=50K
71,32,*******,*********,******************,************,*******,*****,****,<=50K
72,53,************,*********,******************,*****,*******,******************,****,>50K
73,28,*******,*******,******************,****************,*******,*****,****,<=50K
74,21,*******,************,*************,*************,*********,*****,****,<=50K
75,37,*******,*******,******************,************,*******,*****,****,<=50K
76,20,*******,************,*************,************,*********,*****,****,<=50K
77,37,*******,*******,*************,*****************,*********,*****,******,<=50K
78,47,*******,*******,******************,************,*******,*****,****,<=50K
79,54,*********,************,******************,***************,*******,*****,****,<=50K
80,66,*******,*********,********,**************,*********,*****,******,<=50K
81,48,*******,*******,******************,************,****,*****,******,>50K
82,37,****************,************,********,***************,*********,*****,******,<=50K
83,50,*******,************,*************,*************,*************,*****,****,<=50K
84,28,*******,*********,*************,**************,*************,*****,****,<=50K
85,25,*******,****,********,*****************,*************,*****,****,<=50K
86,22,*******,*******,*************,*****************,*************,*****,****,<=50K
87,58,************,****,******************,****************,*******,*****,****,<=50K
88,33,*******,*******,******************,*****,*******,*****,****,<=50K
89,48,*******,************,********,*****,*************,*****,******,<=50K
90,36,*********,*********,******************,************,*******,*****,****,<=50K
91,25,*******,************,********,*****************,*********,*****,******,<=50K
92,33,*********,*********,*************,**************,*************,*****,******,<=50K
93,37,*******,*********,******************,************,*******,*****,****,>50K
94,50,****************,***********,******************,**************,*******,*****,****,>50K
95,33,****************,*********,******************,***************,*******,*****,****,>50K
96,26,*******,*******,******************,*****************,*******,*****,****,>50K
97,27,*******,*********,*************,*****,*************,*****,****,<=50K
98,43,*******,************,******************,**************,*******,*****,****,>50K
99,35,*******,*******,*********,*************,*************,*****,****,<=50K
100,44,*******,*********,*********,***************,*************,*****,****,<=50K
101,58,*******,****,*********,***************,*************,*****,******,<=50K
102,25,*******,************,*************,***************,*************,*****,******,<=50K
